product_id,Other,Aldehyde,Amide,Ketone,Ester,Alcohol,Carboxylic Acid,sentiment_score
P456997,1,0,0,1,0,0,0,0.653282978723404
P500121,1,0,0,1,0,0,0,0.653911377245509
P443846,0,0,0,0,0,1,0,0.653921724137931
P385253,1,1,0,1,1,0,0,0.653966183574879
P375849,1,0,0,1,0,0,0,0.653995899695019
P443842,1,0,0,1,0,0,0,0.653998858647937
P248407,1,0,0,1,0,0,1,0.654042957466543
P482320,1,0,1,0,0,0,1,0.654062268041237
P278317,1,0,0,1,1,0,0,0.654198600855033
P432053,1,0,0,1,0,0,0,0.654464556962025
P447199,1,0,0,1,1,0,0,0.654802325581395
P436353,1,0,0,0,0,0,0,0.655033827893175
P504327,1,1,0,1,1,1,0,0.655121052631579
P438637,1,0,1,1,0,0,0,0.655730693069307
P438643,1,0,0,1,1,0,0,0.656573563218391
P440485,1,0,0,0,0,0,0,0.656673611111111
P475189,1,0,0,1,0,0,0,0.656828358208955
P433887,1,0,0,1,0,0,1,0.656960830152672
P482321,1,0,0,1,1,1,0,0.656986373626374
P470057,1,0,0,1,0,0,0,0.656986373626374
P503692,1,0,0,1,0,1,0,0.65716796875
P428414,1,0,0,1,0,1,0,0.657178571428571
P446934,1,0,0,1,1,0,0,0.657235845588235
P173619,1,0,0,0,0,1,0,0.6572678
P479353,1,0,0,1,0,0,1,0.657322727272727
P426707,1,0,0,1,0,0,0,0.657697574626866
P446938,1,0,0,1,0,0,1,0.6580161
P473304,1,0,0,0,0,1,1,0.658025157232704
P400207,1,0,0,1,0,0,0,0.658828341968912
P232906,1,0,0,0,0,0,0,0.65908695035461
P441101,1,1,0,1,1,0,0,0.659107305502846
P430812,1,0,0,1,0,0,0,0.659111627906977
P409834,1,1,0,1,1,0,0,0.659373015873016
P381020,1,0,0,1,0,0,0,0.66013052631579
P502656,1,0,0,1,0,0,0,0.660288925081433
P433440,1,0,0,1,0,0,0,0.660569696969697
P455894,1,0,1,0,1,0,0,0.660824567474048
P382204,1,0,0,1,0,0,0,0.661024719101124
P500857,1,0,0,0,0,1,0,0.661091489361702
P468143,1,1,0,1,0,0,0,0.661321621621622
P450262,1,0,1,1,0,1,0,0.661543792325056
P483058,1,0,0,0,0,0,0,0.661614285714286
P503878,1,1,0,1,1,0,1,0.661739830508475
P411539,1,0,1,1,0,0,0,0.66195398683248
P483060,1,0,0,1,0,0,0,0.662593650793651
P436359,1,0,0,0,0,0,1,0.663461314553991
P377533,1,0,0,1,1,0,0,0.664074384949349
P481703,1,0,0,1,0,0,0,0.664720261437909
P476538,0,0,0,0,0,0,0,0.664950299401198
P455899,1,0,0,0,0,0,1,0.665066393442623
P393076,1,0,1,1,0,1,0,0.665501779359431
P415701,1,0,0,0,0,0,0,0.665804309874523
P481704,1,0,0,1,1,1,0,0.66602
P424988,1,0,0,1,1,0,0,0.666235456475584
P392249,1,0,0,1,0,0,0,0.666353886010363
P455930,1,0,0,1,0,1,1,0.666556428571429
P474971,1,0,1,0,0,0,0,0.666661990950226
P407448,1,0,0,1,0,0,0,0.667593679458239
P416725,1,0,1,1,1,0,1,0.667651724137931
P424984,1,0,0,1,1,1,1,0.668330769230769
P420652,1,0,0,1,0,0,0,0.668450675424464
P139000,1,0,0,1,0,0,0,0.668925974614687
P411388,1,0,0,1,1,0,1,0.669749253731343
P474060,1,0,0,0,1,1,1,0.669764885496183
P422002,1,0,0,1,0,0,0,0.669764885496183
P426501,1,1,0,1,1,0,0,0.670157184325109
P416341,1,1,0,0,0,1,1,0.670157184325109
P428639,1,1,1,1,1,1,0,0.670346153846154
P470240,1,0,0,1,1,0,0,0.670558139534884
P500988,1,0,0,1,0,0,1,0.670879865771812
P433627,1,0,0,1,0,0,0,0.671053144016227
P461177,1,0,0,0,0,1,1,0.671053144016227
P472311,1,0,0,1,1,0,0,0.671573913043478
P387511,1,1,0,0,1,0,1,0.671594339622642
P443833,1,0,0,1,0,0,1,0.671849033505155
P444980,1,0,0,1,0,1,1,0.671911868686869
P416312,1,0,0,0,0,0,1,0.672392783505155
P504810,1,0,1,1,0,0,0,0.672423076923077
P4032,1,0,0,0,1,0,0,0.672492744479495
P455676,1,0,0,1,0,1,0,0.672607007233273
P458216,1,0,0,1,1,0,0,0.672607007233273
P454120,1,0,1,1,1,1,0,0.673992850678733
P450244,1,0,0,1,0,0,0,0.674061363636364
P401570,1,0,0,0,0,0,0,0.674353488372093
P126301,1,0,0,1,0,0,0,0.674458683729433
P384539,1,0,0,1,0,0,0,0.674505743879473
P480174,1,0,0,0,0,0,0,0.67465
P424989,1,0,0,1,0,1,1,0.676023469387755
P392142,1,0,0,1,0,0,0,0.676178947368421
P443838,1,0,0,1,0,0,1,0.676364948453608
P447785,1,0,0,1,0,0,0,0.676448221343874
P438629,1,1,0,1,1,0,0,0.6766
P474079,1,0,0,1,1,1,0,0.676977559912854
P467748,1,0,0,0,1,0,0,0.677463218390805
P433975,1,0,0,1,0,1,1,0.677570689655172
P426080,1,0,0,1,1,0,0,0.677586734693878
P460701,0,0,0,0,1,0,0,0.677827202072539
P424948,1,0,0,1,0,0,1,0.678021867612293
P482754,1,0,0,1,1,1,0,0.678058064516129
